Age,Material,Diameter,Slope,Depth,Length,Soil PH,Soil Type,Road Type,Condition Rating
12,VCP,8,0.004,8.58,387.8553829,6.5,Clay,Alley,1
14,PVC,8,5.5,6.12,35.17896293,5.7,Sand,Street,1
64,VCP,12,2.4,6,219.81,7.5,Sand,Street,4
18,PVC,8,1,7,105.3613621,7.9,Sand,Street,1
22,PVC,8,0.6,8.85,547.9401484,8.2,Clay,Highway,2
71,RC,12,0.022,5,334.69,6.5,Clay,Alley,3
67,VCP,10,0.28,11.32,154.1241794,6.7,Sand,Street,3
64,VCP,12,0.35,10,309.5091665,4.8,Sand,Street,1
37,PVC,12,0.4,4.75,265,7.9,Loam,Street,1
72,VCP,6,0.5,7,177.7472149,4.8,Sand,Street,3
72,VCP,8,0.32,12.96,322.6058563,7.9,Rock,Easement,3
20,VCP,8,0.42,9.13,105.3546167,6.9,Loam,Street,3
57,VCP,12,1,5,261.8156911,5.7,Sand,Alley,4
69,VCP,8,0.2,8.58,319.230824,5.4,Sand,Easement,3
46,VCP,8,0.41,5,380.9167353,5.7,Sand,Alley,3
16,PVC,12,0.53,11.59,312.94425,8.2,Clay,Street,3
16,PVC,30,0.49,5,167.08,8.2,Clay,Street,1
71,VCP,12,0.28,15.98,200.6,5.4,Sand,Street,3
26,RC,6,0.714926354,7,133.4050353,7.5,Sand,Street,3
65,VCP,6,0.31,9.13,29.43,5.4,Sand,Street,1
70,VCP,8,0.29,10,111.7270921,7.9,Clay,Easement,3
35,PVC,12,0.2,10,303.7982737,6.8,Sand,Street,1
57,PVC,8,0.4,5,97.53870378,7.9,Clay,Highway,3
70,VCP,12,0.38,12.14,120.6202203,5.7,Loam,Easement,3
39,VCP,8,1,7,191.82,5.7,Sand,Highway,3
68,VCP,12,1,5,309.5911331,8.2,Clay,Street,3
65,VCP,12,0.31,13,61.82562695,7.9,Loam,Street,5
19,PVC,8,0.38,5.84,535.9388545,8.2,Clay,Street,1
88,VCP,48,0.036889665,7,200.5307502,4.8,Sand,Street,5
62,VCP,6,0.6,8.85,40.59154897,5.4,Sand,Street,3
35,VCP,8,0.45,11,92.74782096,4.8,Sand,Easement,3
38,VCP,18,0.2,12,272.3874523,7.9,Loam,Street,1
11,PVC,10,0.46,7,278.9962436,7.9,Sand,Street,1
88,VCP,8,0.39,8,805.0690963,8.2,Clay,Street,3
54,VCP,6,0.38,10,221.297011,6.7,Sand,Alley,1
71,VCP,12,0.3,15,311.5056488,8.2,Sand,Street,3
36,VCP,8,1.771097285,14.33,377.1633423,8.2,Sand,Street,3
22,PVC,8,0.6,5,60.65,8.2,Clay,Easement,1
83,VCP,8,0.08,9.68,332.9539599,7.9,Sand,Highway,3
21,PVC,6,0.41,11.32,103.2014059,4.8,Sand,Alley,1
41,VCP,8,0.14,10,270,4.8,Loam,Easement,3
66,VCP,8,0.4,5,1036.681514,7.9,Sand,Street,1
32,VCP,8,0.031614587,7.48,285.3912298,6.9,Loam,Street,1
28,VCP,8,1.75,5,176.99,6.8,Clay,Street,1
18,VCP,12,1,8.85,98.66193537,7.9,Clay,Street,3
13,PVC,8,0.09,10.5,41.42135949,6.5,Sand,Street,1
58,PVC,8,2.5,8.85,211.8629386,8.2,Sand,Street,1
67,VCP,54,0.29,7,306.0406834,4.676787483,Sand,Street,3
67,VCP,8,0.4,10,177.6293262,8.2,Clay,Easement,3
47,PVC,8,1,8.85,43.30753869,8.2,Sand,Street,1
27,PVC,8,0.4,8,338.8195623,8.2,Clay,Street,1
79,VCP,24,0,11.59,624.8418998,4.1,Sand,Easement,5
72,VCP,27,0.4,4.2,686.4378601,6.7,Sand,Street,5
73,VCP,8,0.39,8.85,29.19463311,7.9,Sand,Highway,3
71,VCP,42,0.36,7,225.3246612,7.5,Loam,Alley,1
14,PVC,12,0.43,5,291.4186249,7.9,Clay,Street,1
42,PVC,10,0.4,8.85,259.7036743,5.5,Sand,Alley,3
15,PVC,8,0.6,5,58.86169777,5.7,Sand,Easement,3
66,VCP,8,0.5,8.58,363.7007076,5.8,Clay,Easement,4
63,VCP,8,0.3,12,294.24927,7.9,Sand,Street,3
43,VCP,8,0.07,7,130.1933108,5.4,Sand,Alley,1
11,PVC,8,0.3,17.35,68.60202303,5.4,Loam,Easement,1
62,RC,8,0.4,7,227.9900661,7.9,Clay,Street,1
50,VCP,8,0.34,8.85,348.4829127,7.4,Rock,Easement,3
68,VCP,48,0.12,2.01,137.2993929,4.8,Sand,Street,3
28,VCP,8,1.2,4.75,270.3831118,8.2,Clay,Street,1
66,PVC,8,0.4,7,634.7317076,4.8,Sand,Street,1
37,PVC,8,0.5,11.05,30.55877644,7.9,Clay,Alley,1
16,VCP,8,0.65,7.76,287.538942,8.2,Clay,Street,1
39,VCP,6,3,8.58,46,7.9,Sand,Street,3
64,VCP,8,3.5,9.95,154.194723,5.8,Sand,Street,1
12,VCP,8,0.46,9.95,254.8172409,5.4,Sand,Street,3
64,VCP,10,0,7,51.44839045,8.2,Sand,Street,1
13,RC,8,0.28,15,130.9645356,6.85,Sand,Street,1
23,VCP,8,0.2,8.58,264.0903556,5.5,Loam,Street,1
62,RC,8,0.4,10,303.3639082,5.7,Sand,Alley,3
71,VCP,21,0.29,15,294.3597781,4.8,Sand,Street,3
17,PVC,8,3,5,61.65425216,8.2,Gravel,Street,1
33,VCP,8,2.5,5,49.2332222,7.5,Sand,Street,1
53,PVC,8,0.35,10.77,272.2900949,5.7,Sand,Easement,3
65,VCP,8,3.3,7,115.99,8.2,Clay,Street,3
30,VCP,8,1.759923145,8.85,334.2279318,5.4,Clay,Street,3
57,VCP,6,0.33,7,317.9943535,5.3,Sand,Street,3
39,VCP,10,0.36,10,305.542525,4.8,Sand,Highway,3
55,VCP,8,0.39,10,266.3424416,7.9,Loam,Street,1
47,VCP,8,0.51,7,505.109517,8.2,Sand,Street,3
71,VCP,8,0.157,7,107.2405925,4.8,Sand,Street,5
11,RC,8,0.3,10,261.2778403,6.5,Clay,Street,1
57,PVC,8,0.49,8.85,241.5987918,7.9,Loam,Street,4
28,PVC,8,0.55,5,326.3949258,5.7,Sand,Highway,1
22,PVC,8,2.132085772,6,189.4760915,6.8,Clay,Street,3
11,VCP,8,0.5,11.05,103.2271106,8.2,Sand,Street,3
96,VCP,8,0,11.32,160.618959,4.8,Sand,Street,2
35,RC,8,0.48,11.05,293.5141555,5.7,Clay,Alley,3
39,RC,8,0.33,8.85,423.25,4.8,Clay,Street,3
70,VCP,10,0.42,9.4,177.8730844,8.2,Clay,Street,1
46,RC,6,0.35,8.85,171.3279721,8.2,Clay,Street,1
19,VCP,8,0.54,4.47,346.5065888,8.2,Clay,Street,3
11,PVC,30,1,3.1,333.8848344,8.2,Clay,Street,1
22,PVC,8,1.1,11.32,35.89595282,5.4,Sand,Street,1
77,VCP,33,0.23,8,284.0845367,5.8,Sand,Street,4
54,VCP,18,0.41,7,205.6057262,7.5,Sand,Street,3
17,PVC,8,0.69,8,272.64,8.2,Clay,Street,1
26,RC,12,0.35,9.4,279.99,8.2,Clay,Street,1
29,PVC,10,0.39,9,265,8.2,Clay,Street,1
71,VCP,10,0.3,3.92,98.77053905,5.4,Sand,Street,3
64,VCP,8,1.3,5,313.1838974,6.7,Sand,Street,3
33,VCP,12,0.943361883,8,50.79675313,8.2,Loam,Street,2
22,RC,10,0.020844093,15.43,323.9328643,5.4,Sand,Street,3
18,PVC,8,0.46,10,340.0018431,5.4,Sand,Street,1
21,PVC,6,1.3,2.83,235.97,8.2,Clay,Street,1
66,RC,24,0.3,8,431.4060338,5.7,Clay,Street,3
36,PVC,10,0.39,11.32,303.8112422,7.5,Sand,Alley,1
44,RC,8,2.6,7,131.3399795,7.5,Clay,Street,1
45,PVC,15,0.39,5,319.9720682,4.8,Sand,Street,1
22,PVC,42,0.33,10,83.16529575,7.9,Clay,Highway,4
71,VCP,15,0.4,8.85,313.0024533,6.8,Sand,Street,1
71,VCP,8,0.29,7,365.0677881,4.8,Sand,Street,5
66,VCP,10,0.37,7,99.8685121,4.8,Sand,Street,1
69,VCP,8,0.4,10,282.2123486,8.2,Sand,Street,1
62,VCP,12,0.49,8.03,183.1331093,5.8,Loam,Street,3
30,PVC,8,0.4,7,325.99,8.2,Clay,Alley,1
89,VCP,8,0.1,11.59,337.180948,6.7,Sand,Street,4
43,VCP,8,0.23,9.13,248.4747711,5.4,Sand,Highway,1
65,VCP,10,0.7,6.94,294.6789254,8.2,Clay,Easement,1
25,PVC,8,0.43,13,364.022707,6.5,Sand,Street,1
45,VCP,10,0.55,16.25,265.1,6.8,Sand,Easement,3
65,VCP,18,0.4,8,325.0007904,8.2,Clay,Alley,1
46,VCP,27,0.16,7,282.1285422,5.7,Rock,Street,1
65,VCP,15,0.32,7,370.9845351,5.4,Sand,Street,3
45,VCP,8,0.8,10,215,5.7,Sand,Easement,1
32,PVC,8,6,3.1,581.2601477,8.2,Clay,Alley,1
46,PVC,10,0.6,7,294.99,8.2,Clay,Street,1
62,RC,8,0.45,7,24.88851556,7.9,Clay,Street,3
57,VCP,8,0.2,8,333.8835685,7.9,Sand,Street,1
69,PVC,8,0.39,7.21,190.7756853,7.9,Clay,Street,1
24,PVC,8,0.68,19.6460506,215.7633094,6.5,Sand,Highway,1
57,VCP,18,0.37,8.58,320.3832692,5.4,Loam,Street,2
22,VCP,8,0.5,12,150.8448789,8.2,Rock,Alley,1
25,RC,12,0.32,9.95,293,5.5,Loam,Street,3
38,RC,8,0.31,7,255.9845586,8.2,Loam,Easement,3
70,VCP,15,0.3,10.77,113.5911366,7.9,Sand,Street,1
7,PVC,12,0.39,10,591.8443002,8.2,Clay,Street,1
42,VCP,8,0.31,7,150.86,7.9,Sand,Street,3
11,PVC,15,0.05,7,322.5476473,8.2,Sand,Street,1
18,PVC,6,1.2,6.94,227.8738101,8.2,Clay,Alley,1
71,VCP,8,1.451712427,10,859.8399549,7.9,Sand,Street,1
71,PVC,8,0.26,8,88.29124158,5.7,Sand,Street,3
43,VCP,8,0.4,10.22,268.99,4.1,Sand,Street,3
78,RC,8,0.33,12.14,363.1795741,7.9,Loam,Street,5
60,PVC,8,0.4,6.94,286.299156,8.2,Clay,Street,3
22,PVC,10,2.2,3.1,216.9955433,8.2,Clay,Street,1
71,PVC,8,0.6,9.95,282.99,6.5,Sand,Street,1
71,VCP,8,2,10.77,275.9914513,5.4,Sand,Easement,3
65,VCP,8,0.49,8,135.8371027,5.8,Sand,Street,3
72,RC,8,0.5,7,192.9358555,8.2,Sand,Alley,3
12,PVC,8,1.4,8.31,142.916839,6.9,Rock,Highway,1
81,VCP,8,0.32,9.68,304.0892251,8.2,Rock,Easement,3
68,VCP,10,0.12,8.85,80.70977296,4.8,Sand,Alley,1
64,PVC,8,1,5,167.6958519,8.2,Clay,Street,1
69,VCP,8,2.4,10.5,295.6781639,8.2,Clay,Street,1
60,VCP,8,0.8,4.47,96.97979519,4.8,Sand,Alley,3
53,VCP,6,2,8.58,374.7083169,7.9,Loam,Street,1
23,RC,8,0.6,0.64,561.3529753,8.2,Clay,Street,3
56,VCP,6,0.8,5,45.04521946,6.7,Sand,Alley,1
68,RC,24,0.38,8,62.79,8.2,Rock,Street,1
65,VCP,8,0.28,10.5,216.9651112,7.9,Sand,Street,3
32,VCP,8,0.32,10,209.7421845,7.9,Loam,Easement,3
64,PVC,54,0.3,5,1514.404563,8.2,Clay,Street,1
65,RC,12,0.23,8.85,347.7837399,8.2,Clay,Alley,1
71,VCP,24,0.23,7,225.12626,8.2,Clay,Easement,3
58,VCP,8,0.65,10,526.1278009,8.2,Sand,Easement,1
54,VCP,6,4.238254117,5,359.8266966,8.2,Sand,Street,1
24,RC,8,0.34,5,240.8938598,8.2,Clay,Easement,1
65,VCP,8,0.41,7,259.8665573,7.9,Sand,Street,2
15,PVC,8,1.729003551,5,476.3952245,6.7,Clay,Street,3
17,PVC,15,0.41,8,248.9919173,8.2,Sand,Street,1
71,PVC,8,0.67,8.58,442.6860447,7.5,Loam,Alley,3
22,PVC,12,1,8.58,251.6074616,8.2,Clay,Street,1
12,RC,8,0.4,8,171.3685514,7.9,Sand,Street,3
39,PVC,8,0.39,8.85,88.78274558,7.9,Rock,Street,1
36,VCP,8,0.5,8.85,387.9009149,5.4,Sand,Street,1
66,VCP,6,0.58,6,135.7130305,5.4,Sand,Alley,4
46,RC,26,0.1,15.7,129.9050929,5.8,Sand,Street,4
71,RC,8,0.4,7,251.685737,8.2,Sand,Alley,5
71,PVC,8,0.27,8.03,137.9933528,6.8,Sand,Street,3
47,VCP,8,0.4,10,83.17316571,7.9,Clay,Easement,1
65,PVC,8,0.44,15,320.9947205,7.3,Rock,Street,1
68,VCP,12,0.04854236,7,399.9917264,5.7,Loam,Street,5
68,VCP,6,0.4,10,154.0074388,7.9,Clay,Street,3
67,VCP,8,1.4,7,102.3949977,5.7,Sand,Street,4
72,VCP,8,0.29,19.54,269.5281437,4.8,Sand,Street,3
72,VCP,10,0.14,11,73.59084119,4.8,Sand,Street,3
23,PVC,8,1.36,7,516.8093925,8.2,Sand,Street,1
25,PVC,8,0.48,8,34.48260956,5.8,Rock,Street,1
17,PVC,15,0.14,8.58,195.5785941,7.9,Clay,Street,1
25,VCP,6,0.62,7,32.99232969,8.2,Clay,Street,1
57,VCP,8,0.54,8,422.9177543,7.9,Clay,Street,3
56,PVC,12,0.82,6,260.4,8.2,Loam,Street,3
71,VCP,8,0.48,10.77,482.5577436,5.5,Sand,Highway,5
58,VCP,30,0.5,8.58,50.26362817,8.2,Rock,Highway,1
46,VCP,12,0.41,7,269.4936667,8.2,Clay,Alley,1
71,VCP,6,0.44,8,58.68049947,7.9,Sand,Street,1
75,PVC,12,0.4,5,195.6306547,7.9,Clay,Street,3
43,VCP,8,0.43,6.66,162.7086637,6.8,Loam,Street,1
65,PVC,8,0.39,8.85,337.2183381,8.2,Clay,Easement,1
12,PVC,8,0.48,8,535.7540856,5.7,Clay,Street,3
70,VCP,8,0.39,8.58,38.3931643,4.1,Sand,Street,3
67,VCP,10,0.29,16,203.9342581,4.8,Sand,Street,3
51,VCP,8,0.55,7,106.3559575,8.2,Clay,Alley,3
12,PVC,8,0.26,7,360.7883032,5.4,Sand,Street,1
25,RC,8,0.31,7,51.22843916,5.5,Sand,Street,1
65,VCP,10,0.42,7,261.0434586,8.2,Sand,Highway,4
35,RC,6,0.76,7,173.1267562,7.3,Sand,Street,4
15,PVC,12,0.35,10,106.8266863,8.2,Gravel,Alley,1
18,PVC,8,0.38,8.85,301.9300977,8.2,Loam,Easement,1
13,PVC,33,0.5,8,95.25335542,5.4,Sand,Street,3
35,VCP,8,0.4,7,341.0909099,6.7,Sand,Street,2
57,PVC,8,0.49,8.85,112.4423096,6.9,Clay,Easement,1
67,VCP,30,0.34,7.48,764.6620969,8.2,Sand,Highway,1
57,PVC,8,0.3,8.03,301.613906,5.7,Sand,Easement,1
35,PVC,27,0.4,5,299.8835392,7.9,Sand,Alley,1
36,VCP,8,0.46,10,241.6042594,7.9,Clay,Street,1
71,VCP,8,0.35,10,243.5595739,5.4,Clay,Highway,5
11,RC,8,0.61,8,318.7456314,7.9,Clay,Street,1
67,VCP,21,0.4,16,251.9961582,8.2,Clay,Street,1
62,VCP,6,1,8,233.5587414,7.9,Clay,Street,1
46,PVC,8,0.68,6,170.7846354,7.9,Sand,Street,3
22,PVC,8,0.6,8.58,347.0043248,7.9,Rock,Street,1
57,VCP,8,0.3,8.85,255.0037494,8.2,Sand,Highway,1
14,PVC,8,0.36,8,578.1433481,7.9,Clay,Street,2
14,RC,8,0.32,9.4,135.8323997,6.5,Loam,Alley,1
25,VCP,15,0.0765,7.76,1152.599464,7.5,Sand,Street,1
44,VCP,10,0.25,7,203.6007152,7.9,Clay,Easement,1
81,VCP,12,0,11,252.986481,5.4,Sand,Alley,4
63,VCP,6,2.88,5,366.1811438,5.7,Loam,Alley,1
24,RC,8,1.06,8.03,170.6,8.2,Clay,Street,3
57,VCP,8,0.4,9.13,248.2077612,8.2,Sand,Easement,1
65,VCP,8,0.2,9.4,595.227554,7.5,Clay,Street,1
59,VCP,8,1,7,189.176189,8.2,Sand,Easement,1
40,VCP,15,0.46,7,452.3373155,8.2,Clay,Street,1
13,PVC,8,2.12,5.84,386.2656417,8.2,Clay,Street,2
18,PVC,10,2.398110118,7,418.927479,8.2,Clay,Street,1
60,VCP,8,0.6,5,262.9513475,8.2,Clay,Easement,1
27,RC,12,0.24,8.990579666,752.3224651,8.2,Clay,Street,1
52,VCP,8,0.4,12,326.7132246,7.9,Rock,Street,1
58,VCP,8,0.36,11.59,268.1468879,6.8,Loam,Street,1
42,VCP,10,0.39,5,151.3725797,8.2,Clay,Street,3
25,PVC,8,0.19,11,389.0030766,5.7,Sand,Street,1
60,VCP,8,0.3,18.88570044,200.9073281,5.8,Loam,Alley,3
66,PVC,12,0.63,5,50.99671138,8.2,Clay,Highway,1
15,PVC,8,0.4,5,162.998752,8.2,Sand,Street,1
23,PVC,8,1,5.57,124.9960212,8.2,Clay,Street,1
69,VCP,8,0.22,10.22,892.5593083,5.4,Sand,Alley,3
57,VCP,8,5.8,7,293,6.8,Clay,Highway,3
63,PVC,8,0.49,6,319.472594,7.9,Sand,Street,1
30,RC,15,1.6,7,160.5955927,5.7,Clay,Street,1
65,VCP,10,0.45,5.29,260.9975702,4.8,Sand,Street,3
92,RC,8,0.29,6,1165.068184,5.7,Sand,Street,3
81,VCP,8,0.55,8.03,233.1475364,5.4,Sand,Street,1
38,VCP,8,0.5,10.77,390.2353932,6.5,Clay,Street,4
66,VCP,8,0.29,6.12,334.6558769,5.4,Sand,Highway,3
61,RC,6,0.4,7,170.8823049,5.8,Sand,Street,1
17,RC,6,0.34,12,211.8466338,7.9,Sand,Street,3
17,PVC,8,1,8,48.17099406,5.7,Loam,Street,1
15,VCP,8,0.25,8,157.4522398,5.4,Sand,Highway,1
58,PVC,73,0.4,8,156.189353,8.2,Clay,Street,1
58,VCP,18,0.66,10,220.0674743,6.9,Gravel,Alley,2
43,PVC,60,0.47,5,262.3003206,8.2,Clay,Street,3
45,VCP,8,0.2,11.32,226.6226024,5.5,Sand,Street,3
22,PVC,8,0.58,10,114.5755486,7.9,Rock,Street,1
64,VCP,8,0.2,7,195.4533608,5.4,Sand,Alley,3
22,PVC,8,0.4,8.58,165.679329,7.9,Loam,Street,1
22,PVC,8,4,0.64,190.1266536,8.2,Clay,Street,1
57,VCP,8,0.72,5,289.252334,8.2,Clay,Alley,3
35,RC,48,0.1,7,649.1666435,5.5,Clay,Street,1
57,VCP,8,0.4,10,260.094582,7.5,Loam,Alley,1
46,RC,8,0.01,10.77,298.5967176,6.5,Sand,Alley,5
65,VCP,8,0.41,5,330.79,8.2,Clay,Street,1
36,PVC,18,0.4,7,103.2451173,5.7,Loam,Alley,3
39,RC,12,0.05,8.85,397.6542066,7.5,Sand,Alley,1
64,PVC,8,3.617415209,11.32,440.8671237,7.9,Clay,Street,3
36,PVC,8,0.28,7,261.3248051,6.8,Sand,Street,3
15,VCP,8,0.5,10,170.7978782,6.9,Loam,Highway,1
36,PVC,8,0.39,8.58,263.9964409,7.5,Clay,Alley,1
43,VCP,8,0.36,7.76,249.9511703,5.7,Sand,Street,4
73,VCP,8,0.12,8.85,339.8327168,5.7,Loam,Street,3
62,VCP,8,0.38,5.57,331.70915,5.4,Rock,Highway,3
29,VCP,8,0.39,4.2,85.3659993,8.2,Sand,Highway,1
36,RC,10,0.06,8.85,345.0088485,7.5,Clay,Easement,3
71,VCP,8,0.54,5,130.07,8.2,Sand,Street,2
39,PVC,6,3.577098717,8.58,157.0711249,5.7,Sand,Street,1
65,VCP,8,0.5,7,313.052705,5.7,Sand,Street,3
67,VCP,8,0.42,5,310.4507401,5.8,Sand,Easement,1
58,VCP,8,1.209311466,8.58,51.99782559,8.2,Clay,Street,1
38,VCP,6,2.8,7,324.9541325,4.8,Sand,Alley,3
26,PVC,15,0.03195927,8.85,676.5682463,8.2,Clay,Street,3
70,VCP,24,0.59,10,251.0476894,5.4,Clay,Street,1
83,PVC,8,0.29,7,504.7605825,8.2,Sand,Street,3
16,PVC,15,0.3,7,623.1254855,8.2,Clay,Street,3
21,RC,8,1.07,8.31,325,6.8,Loam,Street,4
75,VCP,8,0.33,7,594.1767241,7.9,Sand,Street,3
60,PVC,15,0.42,5,365.9859176,5.7,Sand,Street,3
16,VCP,8,0.42,10,318.6925741,5.8,Loam,Alley,3
101,VCP,6,0.5,11.05,297.5175905,4.8,Sand,Street,5
59,VCP,8,1.172805186,7,144.0872743,5.4,Sand,Street,3
66,RC,8,1.5,9.95,767.2338707,7.9,Sand,Street,1
49,RC,8,0.4,8.58,67.9936796,7.9,Sand,Street,1
36,PVC,8,0.8,8,401.5170975,7.9,Clay,Street,1
47,VCP,6,0.6,5.02,159.03,5.4,Sand,Street,3
57,PVC,8,0.42,12.14,206.9011801,5.7,Clay,Street,3
58,VCP,24,0.26,5.57,102.9919839,4.1,Sand,Street,3
22,PVC,8,0.38,7.48,46.78747228,7.5,Sand,Street,1
27,PVC,8,0.38,10.5,205.2445273,7.9,Clay,Alley,3
32,PVC,6,0.6,7,299.93,8.2,Loam,Easement,1
62,VCP,8,0.29,6,191.4475814,5.4,Sand,Street,3
52,PVC,12,0.5,5,121.4192455,7.9,Clay,Alley,1
37,VCP,12,0.3,8.58,886.689659,7.9,Clay,Street,1
11,PVC,8,0.4,5,358.06,7.9,Clay,Street,3
11,PVC,15,3,5,94.98539797,7.9,Rock,Alley,1
36,PVC,8,1,7,229.6464196,8.2,Sand,Street,1
58,VCP,42,0.3,6.66,328.6900021,8.2,Sand,Street,2
60,PVC,6,0.6,14.33,973.4807961,8.2,Clay,Street,3
49,VCP,8,1,8,16.77393982,8.2,Sand,Street,1
71,VCP,12,0.2,11.05,315.5692367,5.3,Sand,Street,3
65,VCP,8,0.19,9.95,148.7464474,4.8,Sand,Easement,1
57,VCP,8,0.93,8.85,397.358096,8.2,Sand,Highway,3
66,RC,8,0.5,7,304.0876087,7.4,Clay,Easement,3
71,VCP,8,1,8,419.4577297,6.7,Clay,Highway,4
65,VCP,8,0.3,8.85,600.3544142,5.8,Sand,Alley,4
40,PVC,12,0.5,5,358.8388047,7.4,Loam,Street,1
65,PVC,8,0.763533554,7.76,215.5515645,7.5,Loam,Street,1
64,RC,8,0.78,8,336.514696,7.9,Clay,Highway,3
20,VCP,8,0.55,6.443303511,212.8096693,5.4,Sand,Street,3
39,VCP,8,0.94,5,260.8316239,5.7,Sand,Street,1
26,VCP,8,0.61,6,142.3948792,8.2,Sand,Street,3
29,PVC,24,0.2,7,100.73,7.9,Sand,Street,1
18,RC,8,0.33,8.85,276.1263448,7.5,Clay,Street,1
29,VCP,8,0.14,8.85,89.67101749,5.4,Sand,Street,1
54,RC,30,0.4,10,289.7309015,8.2,Clay,Street,1
17,VCP,15,0.29,6,215.2316159,6.8,Loam,Street,1
57,PVC,8,1.1,8,229.29,5.8,Sand,Street,3
56,VCP,8,1,5.57,470.2771614,7.9,Sand,Alley,3
69,VCP,8,1.36,7,197.1725342,5.8,Sand,Street,3
65,RC,48,0.26,10,328.99,8.2,Clay,Street,1
71,VCP,6,0.39,5,340.8367415,4.8,Sand,Street,3
39,VCP,12,0.63,5,317.9941951,5.3,Sand,Highway,1
9,VCP,8,0.6,8.58,289.4553542,8.2,Clay,Street,3
52,RC,8,0.4,8.85,14.26583906,5.8,Sand,Alley,1
41,PVC,30,0.39,8.58,148.5944529,8.2,Clay,Easement,1
54,PVC,10,0.39,8.85,122.3340061,8.2,Clay,Street,1
57,VCP,12,0.34,9.13,150.7218139,8.2,Clay,Street,1
72,VCP,8,0.07,11.05,335.5358649,7.9,Sand,Street,1
57,VCP,8,0.4,7,107.5238268,6.5,Clay,Street,4
68,VCP,6,0.51,5,352.0192783,8.2,Sand,Street,4
75,VCP,8,1,7,240.8965523,7.9,Loam,Alley,2
65,VCP,8,0.8,7,355.6306772,8.2,Clay,Easement,3
46,VCP,8,1.6,3.92,491.5479087,5.7,Sand,Street,3
65,VCP,8,0.29,11.32,266.570032,5.4,Sand,Street,1
11,PVC,8,1.332728219,7,34.47359758,7.9,Rock,Street,1
23,VCP,10,0.6,5,107.6326785,6.8,Clay,Street,1
39,VCP,8,0.56,8.31,335.2814538,4.8,Sand,Street,4
46,PVC,8,2,7,117.9157047,8.2,Clay,Street,1
61,VCP,8,0.39,8.58,239.6750255,7.3,Loam,Street,1
18,PVC,21,0.32,6,450.4297384,8.2,Sand,Highway,3
21,RC,8,0.51,7,320,5.7,Sand,Highway,1
62,VCP,8,0.4,8,940.3519233,5.4,Clay,Street,3
49,PVC,8,1,10,279.7516937,7.9,Clay,Street,1
30,VCP,24,0.3,7,342.4943314,6.9,Clay,Street,1
58,VCP,8,1.12,8,65,5.4,Sand,Street,3
35,PVC,33,0.006,9.13,228.5429882,6.5,Sand,Street,3
27,PVC,8,0.4,10,519.8158728,7.5,Clay,Street,1
65,VCP,8,1.26511462,10,110,4.1,Sand,Street,3
56,VCP,10,0.28,7,308.008057,5.7,Sand,Alley,3
20,PVC,62,0.137,13,294.6767991,5.8,Sand,Street,1
72,VCP,6,0.4,9.95,294.9974256,5.8,Clay,Street,1
66,VCP,8,0.32,10,200.5341022,5.4,Clay,Easement,3
73,VCP,8,0.41,8,435.9406617,5.3,Sand,Alley,2
72,PVC,12,0.36,5,301.99,8.2,Rock,Street,3
50,VCP,16,0.28,10,25.16948979,5.4,Sand,Alley,4
121,VCP,27,0.29,11.59,287.985599,5.4,Sand,Street,5
17,PVC,66,0.064,7,245,8.2,Clay,Alley,3
68,VCP,33,0.1,10,541.5093843,4.8,Loam,Street,3
71,PVC,48,0.29,9,349.99,8.2,Clay,Street,1
24,PVC,8,0.26,8,309.99,8.2,Clay,Street,1
17,PVC,8,0.640452566,7,349.160607,5.7,Clay,Street,1
11,PVC,8,0.29,12,341.4973672,6.8,Sand,Street,1
21,RC,8,0.36,0.91,204.2271325,5.7,Clay,Street,1
14,VCP,8,0.33,8,279.79,5.4,Sand,Street,3
59,RC,21,0.6,5,1032.807866,8.2,Clay,Alley,1
23,VCP,8,0.039742379,8.03,182.5798131,4.1,Sand,Street,1
23,VCP,12,0.15,7,311.234646,8.2,Clay,Street,3
60,VCP,12,0.3,8.85,553.9268239,7.9,Sand,Street,3
72,VCP,8,0.33,9.4,843.1036217,4.8,Sand,Easement,3
58,PVC,30,0.39,0.91,108.819485,8.2,Clay,Street,1
30,VCP,24,0.3,15,643.8524714,6.9,Clay,Street,3
60,RC,39,0.47,5,889.2398523,8.2,Clay,Street,1
70,VCP,8,0.15,7,399.9955536,5.7,Sand,Street,1
17,PVC,12,0.36,8,541.8045725,8.2,Clay,Street,1
22,PVC,8,0.058503545,15.7,326.3458002,7.5,Sand,Street,1
58,VCP,27,0.34,8.85,326.2634539,7.5,Loam,Street,2
24,PVC,21,0.26,8,563.9428826,7.9,Sand,Highway,1
64,VCP,8,0.2,8.85,540.5965699,6.5,Sand,Street,1
59,RC,8,1.6,7,285.4328309,5.4,Sand,Alley,2
45,PVC,10,0.16,8.58,374.4075867,8.2,Sand,Street,3
35,RC,6,1,9.13,306.8469212,7.5,Clay,Easement,1
26,PVC,8,0.666914303,10.77,27.60879699,7.9,Sand,Street,1
60,VCP,8,0.4,10.22,181.8738343,4.1,Sand,Alley,3
42,VCP,33,0.4,12.14,334.998315,5.7,Sand,Easement,3
70,VCP,8,0.8,10.77,238.9560085,4.1,Sand,Easement,3
61,VCP,8,1.9,11.59,343.2934933,6.5,Sand,Street,4
70,VCP,15,0.09,8.58,376.6228784,7.9,Clay,Alley,1
33,PVC,8,0.224189484,11.05,232.2575871,6.9,Rock,Alley,3
